object01,id,pais,fecha,casos_descartados,casos_confirmados,conf_lab,conf_nexo,casos_muertes,casos_recuperados,casos_nacionales,casos_extranjeros,casos_mujeres,casos_hombres,cc_adult,cc_adult_may,cc_menores,cc_edad_nc,cc_hospit,cc_salon,cc_ci,cc_hospi_nv,cc_salon_nv,cc_uci_nv,casos_investigacion,delta,cc_activos,muestras,cr_muj,cr_hom,cr_adult,cr_adult_may,cr_menores,cr_edad_nc,cd_muj,cd_hom,letalidad,muestr_n,dia_covid19
233,233,Costa Rica,2020-10-23 19:00:00,174784,101826,897,313,1265,61662,85311,16515,49019,52807,86332,6967,8437,90,521,320,201,56,44,11,0,1210,38899,293151,29574,32088,52906,3478,5207,71,482,783,1.24,3116,231
234,234,Costa Rica,2020-10-24 19:00:00,176692,103088,1016,246,1282,62037,86456,16632,49641,53447,87410,7054,8534,90,2698,303,201,41,31,10,0,1262,39769,296363,29770,32267,53222,3506,5238,71,486,796,1.24,3212,232
235,235,Costa Rica,2020-10-25 19:00:00,178246,103949,752,109,1298,62222,87230,16719,50062,53887,88145,7116,8598,90,508,302,206,36,28,8,0,861,40429,299083,29861,32361,53384,3513,5254,71,495,803,1.25,2720,233
236,236,Costa Rica,2020-10-26 19:00:00,178988,104460,420,91,1312,63709,87700,16760,50327,54133,88565,7164,8639,92,512,306,206,34,30,4,0,511,39439,300470,30643,33066,54667,3614,5355,73,499,813,1.26,1387,234
237,237,Costa Rica,2020-10-27 19:00:00,179870,105322,614,248,1329,64406,88485,16837,50776,54546,89314,7223,8694,91,498,303,195,52,43,9,0,862,39587,302168,30983,33423,55297,3639,5398,72,509,820,1.26,1698,235
238,238,Costa Rica,2020-10-28 19:00:00,181546,106553,949,282,1340,64996,89590,16963,51382,55171,90346,7313,8801,93,477,289,188,42,35,7,0,1231,40217,305146,31246,33750,55812,3666,5444,74,515,825,1.26,2978,236
239,239,Costa Rica,2020-10-29 19:00:00,183243,107570,748,269,1357,65666,90488,17082,51906,55664,91186,7386,8899,99,452,270,182,21,14,7,0,1017,40547,308063,31564,34102,56371,3710,5506,79,522,835,1.26,2917,237
240,240,Costa Rica,2020-10-30 19:00:00,185280,108866,1021,275,1371,66202,91657,17209,52549,56317,92281,7473,9012,100,452,266,186,46,29,17,0,1296,41293,311310,31822,34380,56837,3734,5551,80,523,848,1.259346352,3247,238
241,241,Costa Rica,2020-10-31 19:00:00,187026,109971,844,261,1385,66719,92650,17321,53087,56884,93186,7558,9131,96,455,269,186,47,36,11,0,1105,41867,314534,32051,34668,57265,3767,5609,78,525,860,1.26,3224,239
242,242,Costa Rica,2020-11-01 19:00:00,188139,110717,648,98,1396,66937,93314,17403,53444,57273,93803,7621,9192,101,448,264,189,28,20,8,0,746,42384,316368,32156,34781,57434,3783,5637,83,531,865,1.26,1834,240
243,243,Costa Rica,2020-11-02 19:00:00,189058,111257,457,83,1404,68129,93798,17459,53716,57541,94256,7666,9234,101,467,276,191,39,28,11,0,540,41724,318064,32780,35349,58424,3873,5749,83,535,869,1.26,1696,241
244,244,Costa Rica,2020-11-03 19:00:00,190263,112120,617,246,1419,68604,94567,17553,54129,57991,94991,7725,9303,101,462,277,185,36,29,7,0,863,42097,320253,32985,35619,58838,3893,5790,83,540,879,1.27,2189,242
245,245,Costa Rica,2020-11-04 19:00:00,191876,113261,876,265,1431,69143,95581,17680,54691,58570,95986,7791,9383,101,451,272,179,53,36,17,0,1141,42687,323187,33234,35909,59282,3927,5851,83,545,886,1.26,2934,243
246,246,Costa Rica,2020-11-05 19:00:00,193841,114367,883,223,1444,70002,96575,17792,55224,59143,96919,7865,9480,103,449,272,177,58,41,17,0,1106,42921,326539,33685,36317,60004,3966,5949,83,550,894,1.26,3352,244
247,247,Costa Rica,2020-11-06 19:00:00,195496,115417,818,232,1453,70421,97525,17892,55762,59655,97779,7947,9594,97,455,285,170,46,34,12,0,1050,43543,329416,33911,36510,60376,3986,5981,78,553,900,1.26,2877,245
248,248,Costa Rica,2020-11-07 19:00:00,197171,116363,726,220,1464,71119,98377,17986,56257,60106,98577,8017,9672,97,464,285,179,9,31,13,0,946,43780,332387,34223,36896,60982,4020,6039,78,557,907,1.26,2971,246
249,249,Costa Rica,2020-11-08 19:00:00,198731,117099,659,77,1476,71201,99031,18068,56626,60473,99219,8067,9715,98,464,276,188,35,23,12,0,736,44422,335272,34260,36941,61047,4023,6053,78,562,914,1.26,2885,247
250,250,Costa Rica,2020-11-09 19:00:00,199187,117587,411,77,1491,72249,99469,18118,56873,60714,99645,8106,9738,98,484,289,195,44,38,6,0,488,43847,336529,34797,37452,61897,4112,6162,78,566,925,1.27,1257,248
251,251,Costa Rica,2020-11-10 19:00:00,200510,118566,684,295,1502,72941,100352,18214,57390,61176,100467,8172,9829,98,492,294,198,55,39,16,0,979,44123,338190,35129,37812,62503,4139,6221,78,568,934,1.27,1661,249
252,252,Costa Rica,2020-11-11 19:00:00,202168,119768,948,254,1513,73509,101477,18291,57979,61789,101506,8253,9912,97,492,295,197,55,44,11,0,1202,44746,341594,35398,38111,62978,4168,6285,78,573,940,1.26,2967,250
253,253,Costa Rica,2020-11-12 19:00:00,204123,120939,907,264,1527,74255,102554,18385,58549,62390,102495,8329,10018,97,489,298,191,46,33,13,0,1171,45157,344868,35780,38475,63613,4211,6353,78,577,950,1.26,3274,251
254,254,Costa Rica,2020-11-13 19:00:00,205886,122123,934,250,1537,74868,103649,18474,59143,62980,103482,8413,10130,98,477,285,192,33,23,10,0,1184,45718,347822,36077,38791,64137,4257,6396,78,579,958,1.26,2954,252
255,255,Costa Rica,2020-11-14 19:00:00,207554,123223,825,275,1546,75341,104658,18565,59691,63532,104390,8497,10238,98,468,265,203,40,26,14,0,1100,46336,350813,36334,39007,64547,4281,6435,78,585,961,1.25,2991,253
256,256,Costa Rica,2020-11-15 19:00:00,208984,123949,642,84,1555,75691,105329,18620,60029,63920,105030,8550,10271,98,485,283,202,41,34,7,0,726,46703,353809,36500,39191,64865,4294,6453,79,587,968,1.25,2996,255
257,257,Costa Rica,2020-11-16 19:00:00,209700,124592,583,60,1566,77164,105911,18681,60325,64267,105596,8598,10299,99,515,310,205,47,38,9,0,643,45862,355362,37290,39874,66090,4415,6580,79,593,973,1.26,1553,254
258,258,Costa Rica,2020-11-17 19:00:00,210686,125590,655,343,1578,77558,106846,18744,60815,64775,106384,8684,10423,99,514,293,221,53,35,18,0,998,46454,357158,37465,40093,66422,4435,6622,79,597,981,1.26,1796,256
259,259,Costa Rica,2020-11-18 19:00:00,212683,127012,1087,335,1588,78238,108168,18844,61512,65500,107571,8784,10558,99,496,280,216,49,40,9,0,1422,47186,360478,37791,40447,67001,4471,6687,79,602,986,1.25,3320,257
260,260,Costa Rica,2020-11-19 19:00:00,214580,128231,937,282,1599,78851,109302,18929,62130,66101,108597,8878,10657,99,476,262,214,34,24,10,0,1219,47781,363834,38082,40769,67537,4499,6736,79,607,992,1.25,3356,258
261,261,Costa Rica,2020-11-20 19:00:00,216235,129418,918,269,1608,79372,110405,19013,62733,66685,109598,8958,10763,99,470,253,217,47,35,12,0,1187,48438,366844,38327,41045,68001,4526,6766,79,613,995,1.24,3010,259
262,262,Costa Rica,2020-11-21 19:00:00,218467,130722,1007,297,1624,80272,111613,19109,63387,67335,110699,9046,10878,99,485,264,221,58,43,15,0,1304,48826,370739,38757,41515,68781,4564,6848,79,620,1004,1.24,3895,260
263,263,Costa Rica,2020-11-22 19:00:00,220256,131677,847,108,1634,80349,112508,19169,63879,67798,111494,9129,10955,99,493,264,229,43,32,11,0,955,49694,373960,38796,41553,68850,4570,6850,79,626,1008,1.24,3221,261
264,264,Costa Rica,2020-11-23 19:00:00,221093,132295,539,79,1641,81336,113078,19217,64194,68101,112020,9174,11002,99,507,280,227,35,33,3,0,618,49318,375720,39298,42038,69698,4640,6919,79,628,1013,1.24,1760,262
265,265,Costa Rica,2020-11-24 19:00:00,222371,133190,632,263,1662,81973,113895,19295,64650,68540,112763,9240,11088,99,501,293,208,51,39,-19,0,895,49555,378107,39597,42376,70230,4694,6970,79,632,1030,1.25,2387,263
266,266,Costa Rica,2020-11-25 19:00:00,224146,134520,1020,310,1674,82611,115095,19425,65308,69212,113900,9333,11187,100,496,289,207,49,33,16,0,1330,50235,381490,39910,42701,70771,4725,7035,80,634,1040,1.24,3383,264
267,267,Costa Rica,2020-11-26 19:00:00,226213,135742,955,267,1679,83273,116216,19526,65918,69824,114913,9436,11293,100,506,295,211,50,43,7,0,1222,50790,385004,40221,43052,71370,4751,7072,80,637,1042,1.24,3514,265
268,268,Costa Rica,2020-11-27 19:00:00,228084,137093,1070,281,1690,84991,117482,19611,66588,70505,115995,9571,11427,100,513,293,220,54,37,17,0,1351,50412,388489,41041,43950,72860,4843,7208,80,641,1049,1.23,3485,266
269,269,Costa Rica,2020-11-28 19:00:00,230293,138248,919,236,1700,85489,118543,19705,67203,71045,116971,9665,11512,100,514,302,212,56,48,8,0,1155,51059,392317,41276,44213,73296,4869,7244,80,643,1057,1.23,3828,267
270,270,Costa Rica,2020-11-29 19:00:00,232052,139099,764,87,1715,85639,119337,19762,67676,71423,117701,9737,11561,100,515,313,202,42,34,8,0,851,51745,395437,41346,44293,73420,4883,7256,80,648,1067,1.23,3120,268
271,271,Costa Rica,2020-11-30 19:00:00,232964,139638,475,64,1726,87526,119832,19806,67937,71701,118145,9797,11596,100,534,323,211,49,30,9,0,539,50386,397311,42266,45260,75047,5007,7392,80,651,1075,1.24,1874,269
272,272,Costa Rica,2020-12-01 19:00:00,233713,140172,471,63,1731,87721,120321,19851,68208,71964,118582,9860,11630,100,571,347,224,58,50,8,0,534,50720,398784,42358,45363,75217,5021,7403,80,653,1078,1.23,1473,270
273,273,Costa Rica,2020-12-02 19:00:00,234879,141340,864,304,1739,88226,121427,19913,68814,72526,119572,9946,11722,100,572,356,216,48,42,6,0,1168,51375,401201,42623,45603,75623,5056,7467,80,655,1084,1.230366492,2417,271
274,274,Costa Rica,2020-12-03 19:00:00,236598,142505,878,287,1757,91424,122499,20006,69415,73090,120548,10051,11806,100,563,351,212,57,47,10,0,1165,49324,404440,44172,47252,78352,5243,7747,82,664,1093,1.23,3239,272
275,275,Costa Rica,2020-12-04 19:00:00,238291,143685,913,267,1773,95789,123599,20086,70002,73683,121546,10134,11905,100,577,364,213,61,46,15,0,1180,46123,407741,46366,49423,82079,5510,8112,88,666,1107,1.23,3301,273
276,276,Costa Rica,2020-12-05 19:00:00,240580,144891,989,217,1793,98610,124704,20187,70601,74290,122562,10241,11988,100,579,363,216,62,51,11,0,1206,44488,411680,47685,50925,84454,5708,8358,90,675,1118,1.24,3939,274
277,277,Costa Rica,2020-12-06 19:00:00,242547,145845,874,80,1810,100920,125588,20257,71094,74751,123350,10346,12049,100,589,364,225,53,44,9,0,954,43115,415336,48782,52138,86337,5906,8586,91,681,1129,1.24,3656,275
278,278,Costa Rica,2020-12-07 19:00:00,243487,146421,507,69,1825,102855,126130,20291,71383,75038,123820,10417,12084,100,608,383,225,48,40,8,0,576,41741,417186,49725,53130,88040,6025,8698,92,686,1139,1.25,1850,276
,279,Costa Rica,2020-12-08 19:00:00,244743,147430,761,248,1846,105686,127064,20366,71888,75542,124395,10474,12062,499,619,389,230,63,55,8,0,1009,39898,419572,51203,54483,90207,6230,8814,435,696,1150,1.25,2386,277
