fecha,imoran,pvalue
2020-06-11 19:00:00,0.269655833072697,0.003
2020-06-12 19:00:00,0.325617778899203,0.001
2020-06-13 19:00:00,0.112276910373998,0.219
2020-06-14 19:00:00,0.109996196881156,0.252
2020-06-15 19:00:00,0.171261228917777,0.071
2020-06-16 19:00:00,0.146361694289037,0.119
2020-06-17 19:00:00,-0.0476249915432511,0.612
2020-06-18 19:00:00,-0.0476249915432511,0.588
2020-06-19 19:00:00,0.286727587942241,0.003
2020-06-20 19:00:00,0.209494737282202,0.028
2020-06-21 19:00:00,0.138055596387538,0.134
2020-06-22 19:00:00,0.188781822526839,0.05
2020-06-23 19:00:00,0.242614576863437,0.007
2020-06-24 19:00:00,0.251586339213182,0.014
2020-06-25 19:00:00,0.110308292010235,0.212
2020-06-26 19:00:00,0.331280379417228,0
2020-06-27 19:00:00,0.250742477585738,0.01
2020-06-28 19:00:00,0.30318429270006,0.003
2020-06-29 19:00:00,0.25821978771653,0.008
2020-06-30 19:00:00,0.411294919128799,0
2020-07-01 19:00:00,0.356271858674941,0
2020-07-02 19:00:00,0.400009198478447,0
2020-07-03 19:00:00,0.34734024723908,0
2020-07-04 19:00:00,0.316567178141945,0
2020-07-05 19:00:00,0.23741047403361,0.01
2020-07-06 19:00:00,0.252669673231957,0.007
2020-07-07 19:00:00,0.371461992419587,0
2020-07-08 19:00:00,0.385764884600747,0
2020-07-09 19:00:00,0.411643850927082,0
2020-07-10 19:00:00,0.294661639081045,0.002
2020-07-11 19:00:00,0.541278623819034,0
2020-05-08 19:00:00,-0.0542166459375902,0.551
2020-05-10 19:00:00,-0.0984631111305765,0.292
2020-05-12 19:00:00,0.0993340876689009,0.261
2020-05-13 19:00:00,0.248257721032271,0.013
2020-05-14 19:00:00,0.292669753462039,0.002
2020-05-15 19:00:00,0.255472607103462,0.011
2020-05-16 19:00:00,0.250862879678327,0.014
2020-05-17 19:00:00,0.0385730109745395,0.658
2020-05-18 19:00:00,0.170899839754164,0.071
2020-05-20 19:00:00,0.239593489496989,0.019
2020-05-21 19:00:00,0.194929342038944,0.053
2020-05-22 19:00:00,0.114978381968928,0.207
2020-05-23 19:00:00,0.101997609270612,0.278
2020-05-24 19:00:00,0.0862957698134921,0.354
2020-05-25 19:00:00,0.117621716154639,0.232
2020-05-26 19:00:00,0.102048292379987,0.234
2020-05-27 19:00:00,0.0379396306032245,0.702
2020-05-28 19:00:00,0.12073659759271,0.196
2020-05-29 19:00:00,0.0721763959336578,0.445
2020-05-30 19:00:00,0.0629516885779831,0.5
2020-05-31 19:00:00,0.0324298483234919,0.729
2020-06-01 19:00:00,-0.0506643670494898,0.568
2020-06-02 19:00:00,0.263211458665813,0.004
2020-06-03 19:00:00,0.0984381474716169,0.298
2020-06-04 19:00:00,0.0445892858564101,0.629
2020-06-05 19:00:00,0.145153724433867,0.132
2020-06-06 19:00:00,0.220901805812555,0.027
2020-06-07 19:00:00,-0.0174349700489408,0.86
2020-06-08 19:00:00,-0.142254030215911,0.108
2020-06-09 19:00:00,-0.0999174345483092,0.315
2020-06-10 19:00:00,0.253014686807604,0.01
2020-06-11 19:00:00,0.269655833072697,0.003
2020-06-13 19:00:00,0.112276910373998,0.219
2020-06-14 19:00:00,0.109996196881156,0.252
2020-06-15 19:00:00,0.171261228917777,0.071
2020-06-16 19:00:00,0.146361694289037,0.119
2020-06-17 19:00:00,-0.0476249915432511,0.612
2020-06-18 19:00:00,-0.0476249915432511,0.588
2020-06-19 19:00:00,0.286727587942241,0.003
2020-06-20 19:00:00,0.209494737282202,0.028
2020-06-21 19:00:00,0.138055596387538,0.134
2020-06-22 19:00:00,0.188781822526839,0.05
2020-06-23 19:00:00,0.242614576863437,0.007
2020-06-24 19:00:00,0.251586339213182,0.014
2020-06-25 19:00:00,0.110308292010235,0.212
2020-06-26 19:00:00,0.331280379417228,0
2020-06-27 19:00:00,0.250742477585738,0.01
2020-06-28 19:00:00,0.30318429270006,0.003
2020-06-29 19:00:00,0.25821978771653,0.008
2020-06-30 19:00:00,0.411294919128799,0
2020-07-01 19:00:00,0.356271858674941,0
2020-07-02 19:00:00,0.400009198478447,0
2020-07-03 19:00:00,0.34734024723908,0
2020-07-04 19:00:00,0.316567178141945,0
2020-07-05 19:00:00,0.23741047403361,0.01
2020-07-06 19:00:00,0.252669673231957,0.007
2020-07-07 19:00:00,0.371461992419587,0
2020-07-08 19:00:00,0.385764884600747,0
2020-07-09 19:00:00,0.411643850927082,0
2020-07-10 19:00:00,0.294661639081045,0.002
2020-07-11 19:00:00,0.541278623819034,0
2020-07-12 19:00:00,0.450624881578988,0
2020-07-13 19:00:00,0.390573085832007,0
2020-07-14 19:00:00,0.340772932482485,0
2020-07-15 19:00:00,0.386666175457803,0
2020-07-16 19:00:00,0.412995051326333,0
2020-07-17 19:00:00,0.476146258327898,0
2020-07-18 19:00:00,0.393428155791708,0
2020-07-19 19:00:00,0.447972252841455,0
2020-07-20 19:00:00,0.416772928664863,0
2020-07-21 19:00:00,0.425701542980721,0
2020-07-22 19:00:00,0.419685187606861,0
